id	x	y	z	inclinacao
279	549143.4933	9797752.967	88.894096	1
280	549173.4933	9797752.967	88.713097	1
281	549203.4933	9797752.967	89.239601	1
282	549233.4933	9797752.967	89.024498	1
283	549263.4933	9797752.967	88.806396	1
284	549293.4933	9797752.967	88.525398	1
285	549323.4933	9797752.967	88.852798	1
286	549353.4933	9797752.967	88.887199	1
287	549383.4933	9797752.967	87.805	1
288	549413.4933	9797752.967	85.689102	1
289	549443.4933	9797752.967	83.065903	1
290	549473.4933	9797752.967	81.561699	1
291	549503.4933	9797752.967	81.009804	1
292	549533.4933	9797752.967	80.5112	1
293	549563.4933	9797752.967	79.370697	1
294	549593.4933	9797752.967	78.262901	1
295	549623.4933	9797752.967	76.972099	1
296	549653.4933	9797752.967	76.1166	1
297	549683.4933	9797752.967	75.438698	1
298	549713.4933	9797752.967	74.5625	1
299	549743.4933	9797752.967	73.809097	1
300	549773.4933	9797752.967	72.215797	1
301	549803.4933	9797752.967	70.715698	1
302	549833.4933	9797752.967	69.547302	1
303	549863.4933	9797752.967	69.588699	1
304	549893.4933	9797752.967	69.301102	1
305	549923.4933	9797752.967	67.586098	1
306	549953.4933	9797752.967	64.926399	3
307	549983.4933	9797752.967	64.926399	3
308	550013.4933	9797752.967	60.7584	3
309	550043.4933	9797752.967	57.784599	3
310	550073.4933	9797752.967	55.336498	1
311	550103.4933	9797752.967	54.592701	1
312	550133.4933	9797752.967	54.592701	1
313	550163.4933	9797752.967	54.592701	1
314	550193.4933	9797752.967	56.712898	2
315	550223.4933	9797752.967	59.786098	3
316	550253.4933	9797752.967	63.039902	3
317	550283.4933	9797752.967	65.894302	1
318	550313.4933	9797752.967	67.616898	1
319	550343.4933	9797752.967	67.7938	1
320	550373.4933	9797752.967	67.189598	1
321	550403.4933	9797752.967	65.981499	1
322	550433.4933	9797752.967	65.134697	1
323	550463.4933	9797752.967	64.098503	1
324	550493.4933	9797752.967	63.507801	1
325	548903.4933	9797782.967	97.1931	1
326	548933.4933	9797782.967	95.819702	1
327	548963.4933	9797782.967	94.407501	1
328	548993.4933	9797782.967	93.043602	1
329	549023.4933	9797782.967	91.705597	1
330	549053.4933	9797782.967	90.689796	1
331	549083.4933	9797782.967	89.897202	1
332	549113.4933	9797782.967	89.329597	1
333	549143.4933	9797782.967	89.018898	1
334	549173.4933	9797782.967	88.783699	1
335	549203.4933	9797782.967	88.610901	1
336	549233.4933	9797782.967	88.0886	1
337	549263.4933	9797782.967	87.634903	1
338	549293.4933	9797782.967	87.485901	1
339	549323.4933	9797782.967	87.732803	1
340	549353.4933	9797782.967	87.725998	1
341	549383.4933	9797782.967	86.933601	1
342	549413.4933	9797782.967	85.141197	1
343	549443.4933	9797782.967	83.136002	1
344	549473.4933	9797782.967	81.540901	1
345	549503.4933	9797782.967	80.676804	1
346	549533.4933	9797782.967	80.082199	1
347	549563.4933	9797782.967	79.317802	1
348	549593.4933	9797782.967	78.382698	1
349	549623.4933	9797782.967	77.427803	1
350	549653.4933	9797782.967	76.581902	1
351	549683.4933	9797782.967	76.027199	1
352	549713.4933	9797782.967	75.358803	1
353	549743.4933	9797782.967	74.313698	1
354	549773.4933	9797782.967	72.506699	1
355	549803.4933	9797782.967	70.719299	1
356	549833.4933	9797782.967	69.672699	1
357	549863.4933	9797782.967	69.4487	1
358	549893.4933	9797782.967	69.1073	1
359	549923.4933	9797782.967	67.942703	1
360	549953.4933	9797782.967	65.6297	2
361	549983.4933	9797782.967	65.6297	2
362	550013.4933	9797782.967	62.719299	3
363	550043.4933	9797782.967	59.529202	3
364	550073.4933	9797782.967	56.3396	2
365	550103.4933	9797782.967	54.592701	1
366	550133.4933	9797782.967	54.592701	1
367	550163.4933	9797782.967	54.592701	1
368	550193.4933	9797782.967	56.783298	2
369	550223.4933	9797782.967	59.933899	3
370	550253.4933	9797782.967	63.525002	3
371	550283.4933	9797782.967	66.742599	2
372	550313.4933	9797782.967	68.781601	1
373	550343.4933	9797782.967	69.296303	1
374	550373.4933	9797782.967	68.890297	1
375	550403.4933	9797782.967	68.048401	1
376	550433.4933	9797782.967	67.202904	1
377	550463.4933	9797782.967	66.265602	1
378	550493.4933	9797782.967	65.388802	1
379	548903.4933	9797812.967	95.982201	1
380	548933.4933	9797812.967	94.967697	1
381	548963.4933	9797812.967	93.812202	1
382	548993.4933	9797812.967	92.692299	1
383	549023.4933	9797812.967	91.887604	1
384	549053.4933	9797812.967	91.018303	1
385	549083.4933	9797812.967	90.227501	1
386	549113.4933	9797812.967	89.628998	1
387	549143.4933	9797812.967	89.0224	1
388	549173.4933	9797812.967	88.482002	1
389	549203.4933	9797812.967	87.565399	1
390	549233.4933	9797812.967	86.752502	1
391	549263.4933	9797812.967	86.139503	1
392	549293.4933	9797812.967	86.045898	1
393	549323.4933	9797812.967	86.232201	1
394	549353.4933	9797812.967	86.278999	1
395	549383.4933	9797812.967	85.879799	1
396	549413.4933	9797812.967	84.488297	1
397	549443.4933	9797812.967	82.785004	1
398	549473.4933	9797812.967	81.257797	1
399	549503.4933	9797812.967	80.389198	1
400	549533.4933	9797812.967	79.776497	1
401	549563.4933	9797812.967	79.2771	1
402	549593.4933	9797812.967	78.446198	1
403	549623.4933	9797812.967	77.603104	1
404	549653.4933	9797812.967	76.978401	1
405	549683.4933	9797812.967	76.481003	1
406	549713.4933	9797812.967	75.871101	1
407	549743.4933	9797812.967	74.563301	1
408	549773.4933	9797812.967	72.718102	1
409	549803.4933	9797812.967	70.886299	1
410	549833.4933	9797812.967	69.6651	1
411	549863.4933	9797812.967	69.297203	1
412	549893.4933	9797812.967	68.964798	1
413	549923.4933	9797812.967	68.2612	1
414	549953.4933	9797812.967	66.476997	1
415	549983.4933	9797812.967	66.476997	1
416	550013.4933	9797812.967	63.948601	2
417	550043.4933	9797812.967	60.8027	3
418	550073.4933	9797812.967	57.515999	2
419	550103.4933	9797812.967	54.8918	1
420	550133.4933	9797812.967	54.592701	1
421	550163.4933	9797812.967	54.592701	1
422	550193.4933	9797812.967	56.651001	2
423	550223.4933	9797812.967	59.995098	3
424	550253.4933	9797812.967	63.7071	3
425	550283.4933	9797812.967	67.138199	2
426	550313.4933	9797812.967	69.590302	1
427	550343.4933	9797812.967	70.403297	1
428	550373.4933	9797812.967	70.275299	1
429	550403.4933	9797812.967	69.781197	1
430	550433.4933	9797812.967	69.123497	1
431	550463.4933	9797812.967	68.247002	1
432	550493.4933	9797812.967	67.056503	1
433	548903.4933	9797842.967	94.515099	1
434	548933.4933	9797842.967	93.851097	1
435	548963.4933	9797842.967	93.069603	1
436	548993.4933	9797842.967	92.215599	1
437	549023.4933	9797842.967	91.585403	1
438	549053.4933	9797842.967	91.1717	1
439	549083.4933	9797842.967	90.879097	1
440	549113.4933	9797842.967	90.219299	1
441	549143.4933	9797842.967	88.933098	1
442	549173.4933	9797842.967	87.534302	1
