id	x	y	z
209	550283.4933	9797692.967	63.9011
210	550313.4933	9797692.967	65.083801
211	550343.4933	9797692.967	65.036301
212	550373.4933	9797692.967	64.274101
213	550403.4933	9797692.967	63.3568
214	550433.4933	9797692.967	62.398102
215	550463.4933	9797692.967	61.397202
216	550493.4933	9797692.967	60.309101
217	548903.4933	9797722.967	97.7183
218	548933.4933	9797722.967	95.966599
219	548963.4933	9797722.967	94.113701
220	548993.4933	9797722.967	92.461601
221	549023.4933	9797722.967	91.0364
222	549053.4933	9797722.967	90.023804
223	549083.4933	9797722.967	89.403
224	549113.4933	9797722.967	89.014503
225	549143.4933	9797722.967	88.805397
226	549173.4933	9797722.967	88.623398
227	549203.4933	9797722.967	88.723602
228	549233.4933	9797722.967	88.8284
229	549263.4933	9797722.967	88.887901
230	549293.4933	9797722.967	89.141899
231	549323.4933	9797722.967	89.409798
232	549353.4933	9797722.967	89.4291
233	549383.4933	9797722.967	88.495499
234	549413.4933	9797722.967	85.910698
235	549443.4933	9797722.967	83.181602
236	549473.4933	9797722.967	81.284698
237	549503.4933	9797722.967	80.916496
238	549533.4933	9797722.967	80.849602
239	549563.4933	9797722.967	80.257401
240	549593.4933	9797722.967	78.824501
241	549623.4933	9797722.967	77.422897
242	549653.4933	9797722.967	76.048897
243	549683.4933	9797722.967	75.147598
244	549713.4933	9797722.967	74.123596
245	549743.4933	9797722.967	73.053497
246	549773.4933	9797722.967	71.9814
247	549803.4933	9797722.967	71.021301
248	549833.4933	9797722.967	70.329002
249	549863.4933	9797722.967	70.027802
250	549893.4933	9797722.967	69.450302
251	549923.4933	9797722.967	67.548698
252	549953.4933	9797722.967	63.6656
253	549983.4933	9797722.967	63.6656
254	550013.4933	9797722.967	59.3633
255	550043.4933	9797722.967	55.632099
256	550073.4933	9797722.967	54.592701
257	550103.4933	9797722.967	54.592701
258	550133.4933	9797722.967	54.592701
259	550163.4933	9797722.967	54.592701
260	550193.4933	9797722.967	56.7491
261	550223.4933	9797722.967	59.618198
262	550253.4933	9797722.967	62.5028
263	550283.4933	9797722.967	64.908798
264	550313.4933	9797722.967	66.346001
265	550343.4933	9797722.967	66.426102
266	550373.4933	9797722.967	65.737
267	550403.4933	9797722.967	64.574799
268	550433.4933	9797722.967	63.645401
269	550463.4933	9797722.967	62.779499
270	550493.4933	9797722.967	61.831001
271	548903.4933	9797752.967	97.954002
272	548933.4933	9797752.967	96.339401
273	548963.4933	9797752.967	94.679901
274	548993.4933	9797752.967	93.1576
275	549023.4933	9797752.967	91.3647
276	549053.4933	9797752.967	90.306602
277	549083.4933	9797752.967	89.536301
278	549113.4933	9797752.967	89.073601
279	549143.4933	9797752.967	88.894096
280	549173.4933	9797752.967	88.713097
281	549203.4933	9797752.967	89.239601
282	549233.4933	9797752.967	89.024498
283	549263.4933	9797752.967	88.806396
284	549293.4933	9797752.967	88.525398
285	549323.4933	9797752.967	88.852798
286	549353.4933	9797752.967	88.887199
287	549383.4933	9797752.967	87.805
288	549413.4933	9797752.967	85.689102
289	549443.4933	9797752.967	83.065903
290	549473.4933	9797752.967	81.561699
291	549503.4933	9797752.967	81.009804
292	549533.4933	9797752.967	80.5112
293	549563.4933	9797752.967	79.370697
294	549593.4933	9797752.967	78.262901
295	549623.4933	9797752.967	76.972099
296	549653.4933	9797752.967	76.1166
297	549683.4933	9797752.967	75.438698
298	549713.4933	9797752.967	74.5625
299	549743.4933	9797752.967	73.809097
300	549773.4933	9797752.967	72.215797
301	549803.4933	9797752.967	70.715698
302	549833.4933	9797752.967	69.547302
303	549863.4933	9797752.967	69.588699
304	549893.4933	9797752.967	69.301102
305	549923.4933	9797752.967	67.586098
306	549953.4933	9797752.967	64.926399
307	549983.4933	9797752.967	64.926399
308	550013.4933	9797752.967	60.7584
309	550043.4933	9797752.967	57.784599
310	550073.4933	9797752.967	55.336498
311	550103.4933	9797752.967	54.592701
312	550133.4933	9797752.967	54.592701
313	550163.4933	9797752.967	54.592701
314	550193.4933	9797752.967	56.712898
315	550223.4933	9797752.967	59.786098
316	550253.4933	9797752.967	63.039902
317	550283.4933	9797752.967	65.894302
318	550313.4933	9797752.967	67.616898
319	550343.4933	9797752.967	67.7938
320	550373.4933	9797752.967	67.189598
321	550403.4933	9797752.967	65.981499
322	550433.4933	9797752.967	65.134697
323	550463.4933	9797752.967	64.098503
324	550493.4933	9797752.967	63.507801
325	548903.4933	9797782.967	97.1931
326	548933.4933	9797782.967	95.819702
327	548963.4933	9797782.967	94.407501
328	548993.4933	9797782.967	93.043602
329	549023.4933	9797782.967	91.705597
330	549053.4933	9797782.967	90.689796
331	549083.4933	9797782.967	89.897202
332	549113.4933	9797782.967	89.329597
333	549143.4933	9797782.967	89.018898
334	549173.4933	9797782.967	88.783699
335	549203.4933	9797782.967	88.610901
336	549233.4933	9797782.967	88.0886
337	549263.4933	9797782.967	87.634903
338	549293.4933	9797782.967	87.485901
339	549323.4933	9797782.967	87.732803
