ID	UT	N_Arvore	DAP	HC	G	Volume	X	Y	Z
563	3	8926	0.757576	12	0.450757	4.334604	549321.001	9797980.883	78.635498
564	3	8928	0.665266	13	0.347601	3.574555	549322.899	9798011.39	77.822098
565	3	8929	0.665266	11	0.347601	3.103757	549326.571	9798014.815	77.822098
566	3	8930	0.668449	17	0.350935	4.527632	549339.918	9798017.907	77.473
567	3	8933	1.22549	18	1.179532	16.014908	549329.474	9798060.355	76.9842
568	3	8934	0.684365	16	0.367845	4.509174	549346.049	9798074.278	75.280602
569	3	8935	0.636618	14	0.318308	3.484274	549342.718	9798095.281	75.280602
570	3	8937	0.6589	16	0.34098	4.179137	549337.055	9798134.19	71.952797
571	3	8938	0.636618	17	0.318308	4.105794	549322.262	9798133.973	73.515404
572	3	8939	0.6589	16	0.34098	4.179137	549331.277	9798156.851	73.515404
573	3	8940	0.754393	17	0.446977	5.769865	549347.851	9798163.258	70.020401
574	3	8941	0.560224	11	0.246498	2.1993	549371.763	9798159.604	70.279297
575	3	8942	0.572956	14	0.25783	2.820924	549369.868	9798142.804	70.279297
576	3	8943	0.611154	13	0.293353	3.015547	549358.413	9798149.77	71.952797
577	3	8944	0.865801	14	0.588743	6.453437	549380.773	9798167.119	68.146103
578	3	8946	0.639801	13	0.321499	3.305562	549352.759	9798222.172	67.266602
579	3	8947	0.598421	16	0.281257	3.445668	549359.928	9798428.869	67.655998
580	3	8948	0.579323	12	0.263591	2.53171	549386.065	9798427.426	67.716301
581	3	8950	0.595238	12	0.278273	2.673052	549375.84	9798455.394	72.425499
582	3	8952	0.773491	14	0.469895	5.148082	549351.264	9798474.633	77.417801
583	3	8953	0.70028	13	0.385153	3.96164	549346.817	9798480.161	77.417801
584	3	8956	0.636618	10	0.318308	2.621656	549329.577	9798480.275	76.814697
585	3	8957	1.104533	16	0.95818	11.771031	549329.245	9798485.36	76.814697
586	3	8958	0.636618	16	0.318308	3.900665	549342.043	9798514.87	80.850502
587	3	8959	0.789407	14	0.489431	5.362608	549346.047	9798516.416	80.850502
588	3	8960	0.910364	17	0.650909	8.409463	549344.053	9798550.461	83.555496
589	3	8961	1.018589	16	0.814869	10.006846	549353.51	9798560.628	83.555496
590	3	8966	0.795773	18	0.497357	6.739678	549284.779	9798579.436	83.763802
591	3	8968	0.687548	10	0.371275	3.058959	549261.081	9798549.045	80.973503
592	3	8969	0.572956	12	0.25783	2.476251	549264.195	9798548.16	80.973503
593	3	8972	0.958111	16	0.720976	8.851373	549310.901	9798519.078	80.128998
594	3	8973	0.954927	13	0.716194	7.376975	549310.675	9798503.492	80.128998
595	3	8974	0.639801	13	0.321499	3.305562	549306.781	9798499.293	76.814697
596	3	8975	0.719379	16	0.406448	4.9835	549305.001	9798496.751	76.112602
597	3	8977	1.114082	16	0.974819	11.975909	549309.003	9798487.907	76.814697
598	3	8981	0.601604	13	0.284257	2.92184	549297.206	9798457.071	72.046501
599	3	8982	1.18411	12	1.10122	10.610948	549301.208	9798449.996	72.046501
600	3	8987	1.028139	17	0.83022	10.731959	549314.439	9798432.418	67.763901
601	3	8991	0.709829	13	0.395729	4.07067	549329.742	9798247.932	66.961601
602	3	8992	0.662083	12	0.344282	3.308711	549315.376	9798170.893	71.753601
603	3	8993	0.579323	10	0.263591	2.170072	549309.928	9798180.511	71.753601
604	3	8995	0.592055	12	0.275305	2.644476	549294.893	9798099.603	76.694199
605	3	8996	0.563407	12	0.249307	2.394216	549301.23	9798089.432	76.694199
606	3	8998	0.572956	12	0.25783	2.476251	549312.458	9798064.228	76.9842
607	3	9002	0.795773	18	0.497357	6.739678	549314.117	9798028.304	77.822098
608	3	9004	0.407436	12	0.130379	1.250268	549293.868	9798000.896	79.3582
609	3	9005	0.604787	16	0.287273	3.519538	549292.639	9797980.005	79.3582
610	3	9006	0.595238	16	0.278273	3.409028	549279.96	9797978.793	79.3582
611	3	9007	0.642984	16	0.324706	3.979247	549264.167	9797980.455	80.366402
612	3	9008	0.662083	18	0.344282	4.661507	549267.499	9797961.773	80.649803
613	3	9012	0.604787	12	0.287273	2.759704	549267.159	9797935.687	81.102699
614	3	9013	0.56659	14	0.252132	2.758447	549300.41	9797918.325	80.4944
615	3	9018	0.57614	12	0.260703	2.503903	549299.597	9797778.941	87.485901
616	3	9020	0.722562	12	0.410053	3.942346	549277.022	9797794.201	86.045898
617	3	9021	0.636618	12	0.318308	3.058549	549272.344	9797765.021	87.634903
618	3	9023	0.636618	12	0.318308	3.058549	549261.663	9797750.543	88.806396
619	3	9024	0.585689	13	0.269416	2.768956	549258.548	9797748.776	88.806396
620	3	9026	0.579323	13	0.263591	2.708955	549297.582	9797727.654	89.141899
621	3	9027	1.301884	14	1.331174	14.618306	549313.932	9797727.981	89.409798
622	3	9028	0.636618	16	0.318308	3.900665	549314.822	9797730.302	88.852798
623	3	9029	0.611154	12	0.293353	2.818241	549325.501	9797737.816	88.852798
624	3	9030	0.74166	14	0.432016	4.732195	549321.166	9797748.318	88.852798
625	3	9031	0.636618	14	0.318308	3.484274	549269.551	9797716.276	88.887901
626	3	9032	0.592055	16	0.275305	3.372584	549270.661	9797705.222	88.887901
627	3	9033	0.61752	12	0.299496	2.877395	549261.535	9797683.891	88.216797
628	3	9034	0.75121	12	0.443213	4.261897	549258.53	9797676.486	88.216797
629	3	9035	0.639801	15	0.321499	3.730655	549305.018	9797661.663	88.063904
630	3	9037	1.499236	18	1.765346	23.990474	549327.376	9797671.937	89.299202
631	3	9038	1.40056	12	1.540613	14.855996	549258.295	9797624.645	85.8834
632	3	9039	0.502928	12	0.198656	1.906817	549236.393	9797660.022	86.842697
633	3	9040	0.954927	16	0.716194	8.792525	549225.951	9797709.433	88.8284
634	3	9042	0.74166	13	0.432016	4.444815	549244.642	9797732.531	88.806396
635	3	9043	0.595238	12	0.278273	2.673052	549250.429	9797747.23	88.806396
636	3	9045	0.827604	10	0.537941	4.435832	549228.414	9797776.969	88.0886
637	3	9046	0.821238	12	0.529697	5.095568	549239.764	9797796.2	86.752502
638	3	9047	0.61752	12	0.299496	2.877395	549261.457	9797818.854	86.139503
639	3	9048	1.040871	18	0.85091	11.544613	549271.244	9797816.199	86.139503
640	3	9049	0.655717	12	0.337693	3.245247	549228.537	9797822.288	86.752502
641	3	9050	0.572956	14	0.25783	2.820924	549221.656	9797882.974	84.035202
642	3	9051	0.789407	13	0.489431	5.036944	549239.787	9797890.043	83.039101
643	3	9052	0.75121	16	0.443213	5.435333	549246.462	9797896.453	81.925201
644	3	9053	0.630252	10	0.311974	2.569369	549253.806	9797912.036	81.925201
645	3	9057	0.674815	13	0.357651	3.678146	549228.014	9797958.467	81.892998
646	3	9058	0.853069	18	0.571555	7.747554	549247.046	9798010.966	79.773201
647	3	9059	0.592055	12	0.275305	2.644476	549230.364	9798015.613	81.1418
648	3	9060	0.687548	11	0.371275	3.315637	549221.022	9798018.268	81.1418
649	3	9063	0.582506	12	0.266496	2.559671	549227.483	9798059.385	80.339798
650	3	9064	0.636618	14	0.318308	3.484274	549233.935	9798064.247	80.339798
651	3	9065	0.668449	18	0.350935	4.751787	549251.618	9798060.374	78.754601
652	3	9066	0.588872	8	0.272353	1.85686	549249.403	9798099.062	77.7257
653	3	9067	0.757576	17	0.450757	5.818768	549244.739	9798127.47	76.573502
654	3	9068	0.595238	12	0.278273	2.673052	549235.846	9798147.921	77.408897
655	3	9069	0.636618	15	0.318308	3.693544	549236.073	9798165.496	76.172096
656	3	9070	0.652534	13	0.334423	3.43874	549245.863	9798177.432	75.065498
657	3	9073	0.630252	12	0.311974	2.997549	549208.607	9798191.147	76.951202
658	3	9074	0.439267	14	0.151547	1.656095	549231.646	9798253.372	70.5439
659	3	9077	0.627069	13	0.308831	3.175019	549297.598	9798242.082	69.068398
660	3	9083	0.824421	12	0.533811	5.135234	549209.35	9798495.559	72.796204
661	3	9084	0.604787	10	0.287273	2.365498	549239.612	9798536.67	80.116699
662	3	9085	0.636618	16	0.318308	3.900665	549219.935	9798572.488	83.154297
663	3	9086	0.636618	13	0.318308	3.272679	549149.201	9798586.883	78.2528
664	3	9092	0.611154	13	0.293353	3.015547	549139.505	9798506.629	72.679298
665	3	9093	0.61752	11	0.299496	2.673333	549144.732	9798506.628	72.679298
666	3	9095	0.614337	16	0.296417	3.631815	549203.192	9798331.417	63.4538
667	3	9100	0.614337	6	0.296417	1.584929	549214.183	9798250.613	70.5439
668	3	9102	0.553858	12	0.240928	2.313566	549184.257	9798221.882	74.207001
669	3	9104	0.70028	13	0.385153	3.96164	549170.13	9798212.379	74.319901
670	3	9105	0.706646	10	0.392188	3.231659	549164.229	9798188.173	77.099602
671	3	9107	0.541126	11	0.229978	2.051584	549182.462	9798159.541	79.287201
672	3	9108	0.496562	11	0.193659	1.726922	549187.353	9798146.607	78.594398
673	3	9109	0.572956	11	0.25783	2.300637	549192.799	9798131.683	78.594398
674	3	9110	0.728928	16	0.41731	5.116987	549187.902	9798119.636	79.715797
675	3	9112	0.595238	6	0.278273	1.487704	549183.336	9798091.672	80.839897
676	3	9113	0.999491	13	0.784598	8.083217	549188.116	9798082.939	80.839897
677	3	9118	0.541126	12	0.229978	2.208186	549182.212	9798047.569	82.209702
678	3	9119	0.636618	12	0.318308	3.058549	549197.446	9798032.533	82.5056
679	3	9120	0.541126	12	0.229978	2.208186	549210.347	9798027.777	82.5056
680	3	9121	0.636618	10	0.318308	2.621656	549203.782	9798016.283	82.5056
681	3	9123	0.665266	12	0.347601	3.340674	549190.314	9797976.383	83.246902
682	3	9125	1.075885	16	0.909121	11.167028	549200.541	9797954.163	83.246902
683	3	9126	0.646168	14	0.327929	3.589827	549174.173	9797921.562	85.499001
684	3	9127	0.318309	8	0.079577	0.541045	549169.836	9797923.663	85.499001
685	3	9128	0.636618	12	0.318308	3.058549	549165.054	9797924.77	85.499001
686	3	9129	0.687548	16	0.371275	4.551312	549181.952	9797891.273	86.164001
687	3	9130	0.958111	13	0.720976	7.426348	549166.822	9797876.023	86.877701
688	3	9132	0.732111	10	0.420963	3.469321	549197.739	9797865.294	85.255402
689	3	9133	0.853069	11	0.571555	5.109173	549196.622	9797848.825	86.149696
690	3	9134	0.652534	13	0.334423	3.43874	549199.956	9797835.228	86.149696
691	3	9135	0.668449	16	0.350935	4.301428	549187.941	9797824.62	86.149696
692	3	9137	0.636618	12	0.318308	3.058549	549192.5	9797819.534	87.565399
693	3	9138	0.636618	12	0.318308	3.058549	549201.17	9797799.083	87.565399
694	3	9139	0.636618	12	0.318308	3.058549	549181.703	9797783.724	88.783699
695	3	9142	0.662083	14	0.344282	3.769256	549216.053	9797716.068	88.8284
696	3	9145	0.60797	17	0.290305	3.743811	549202.47	9797658.704	86.876801
697	3	9146	0.534759	14	0.224598	2.456576	549197.575	9797654.173	86.876801
698	3	9148	0.451999	8	0.160459	1.092686	549222.596	9797636.703	85.754204
699	3	9149	0.996308	12	0.779609	7.506189	549225.595	9797620.232	85.754204
700	3	9150	1.018589	16	0.814869	10.006846	549132.619	9797642.583	88.289398
701	3	9151	1.002674	10	0.789604	6.516652	549148.751	9797661.038	88.289398
702	3	9153	0.56659	12	0.252132	2.421407	549139.078	9797677.51	88.5849
