ID	UT	N_Arvore	DAP	HC	G	Volume	X	Y	Z
319	3	8799	0.735294	8	0.424631	2.897968	549493.016	9797794.811	80.389198
320	3	8806	0.859435	12	0.580117	5.581739	549460.832	9797632.001	80.769897
321	3	8808	0.528393	12	0.219283	2.105269	549454.39	9797666.268	83.112099
322	3	8809	0.541126	12	0.229978	2.208186	549444.603	9797670.582	83.280403
323	3	8814	0.563407	12	0.249307	2.394216	549430.194	9797871.205	81.108002
324	3	8815	0.477464	12	0.179048	1.718208	549433.756	9797881.374	81.108002
325	3	8816	0.512478	13	0.206272	2.118709	549413.851	9797898.18	80.720703
326	3	8817	0.56659	12	0.252132	2.421407	549415.424	9797960.742	77.7556
327	3	8819	0.572956	12	0.25783	2.476251	549426.776	9797991.468	76.3647
328	3	8820	0.541126	13	0.229978	2.362782	549417.768	9797995.228	76.3647
329	3	8824	0.48383	9	0.183855	1.383513	549492.459	9798240.707	60.741901
330	3	8826	0.522027	9	0.214031	1.611136	549469.883	9798251.103	61.478802
331	3	8827	0.684365	9	0.367845	2.772366	549495.247	9798273.093	60.591499
332	3	8828	0.709829	10	0.395729	3.260905	549476.142	9798375.895	64.751602
333	3	8831	0.499745	16	0.19615	2.401071	549445.355	9798462.782	73.252602
334	3	8836	0.572956	16	0.25783	3.158041	549425.795	9798523.802	80.432503
335	3	8837	0.557041	12	0.243705	2.340295	549429.244	9798526.675	80.432503
336	3	8846	0.477464	10	0.179048	1.472774	549376.31	9798558.522	83.757202
337	3	8849	0.509295	18	0.203717	2.755034	549400.328	9798535.967	83.049599
338	3	8850	0.954927	12	0.716194	6.894304	549402.326	9798520.05	80.432503
339	3	8852	0.493379	9	0.191184	1.43879	549384.526	9798500.6	80.9813
340	3	8853	0.970843	14	0.740266	8.118517	549416	9798491.197	76.967102
341	3	8854	0.509295	13	0.203717	2.092412	549423.335	9798470.304	76.967102
342	3	8857	0.954927	14	0.716194	7.853934	549403.436	9798059.121	73.713898
343	3	8859	0.579323	17	0.263591	3.398566	549390.862	9798032.927	76.664398
344	3	8861	0.502928	13	0.198656	2.040313	549380.517	9798030.387	76.664398
345	3	8862	0.528393	14	0.219283	2.398305	549377.399	9798012.482	76.664398
346	3	8863	0.738477	12	0.428316	4.118334	549387.406	9798003.636	77.328102
347	3	8867	0.763942	14	0.458364	5.021473	549355.591	9797980.874	77.993202
348	3	8869	0.853069	12	0.571555	5.499169	549364.371	9797953.349	79.041901
349	3	8872	1.177744	16	1.08941	13.387036	549380.936	9797923.722	79.941498
350	3	8877	0.553858	12	0.240928	2.313566	549398.27	9797857.065	83.0084
351	3	8880	0.954927	10	0.716194	5.909498	549407.383	9797827.992	83.674896
352	3	8882	0.480647	12	0.181444	1.741246	549413.833	9797823.016	83.674896
353	3	8886	0.381971	12	0.114591	1.09855	549398.691	9797760.016	85.689102
354	3	8898	0.490196	12	0.188725	1.811282	549403.554	9797637.321	83.642502
355	3	8901	0.509295	12	0.203717	1.955507	549402.668	9797651.138	85.178101
356	3	8915	1.209575	14	1.149093	12.614612	549339.194	9797789.764	87.725998
357	3	8916	0.534759	15	0.224598	2.60412	549335.859	9797795.402	86.232201
358	3	8920	0.636618	16	0.318308	3.900665	549353.564	9797880.399	83.142601
359	3	8923	0.891266	12	0.623884	6.00384	549343.355	9797975.572	79.041901
360	3	8924	0.550675	11	0.238166	2.124799	549341.246	9797989.278	77.993202
361	3	8925	0.754393	13	0.446977	4.599089	549332.791	9797982.538	78.635498
362	3	8927	0.531576	11	0.221933	1.979655	549323.229	9797993.151	78.635498
363	3	8931	0.627069	12	0.308831	2.967279	549352.04	9798013.483	77.473
364	3	8932	0.541126	14	0.229978	2.515548	549341.038	9798049.188	76.484703
365	3	8936	0.493379	17	0.191184	2.463216	549348.729	9798118.602	73.8992
366	3	8945	0.467914	14	0.171958	1.879686	549374.999	9798205.475	65.417297
367	3	8949	0.477464	18	0.179048	2.420713	549395.854	9798432.066	67.716301
368	3	8951	0.579323	15	0.263591	3.057326	549375.398	9798467.774	72.425499
369	3	8954	0.572956	13	0.25783	2.649613	549336.026	9798471.1	76.814697
370	3	8955	0.582506	12	0.266496	2.559671	549339.25	9798467.23	72.4842
371	3	8962	0.595238	12	0.278273	2.673052	549356.069	9798563.723	85.198303
372	3	8963	0.477464	13	0.179048	1.8385	549339.166	9798577.654	85.198303
373	3	8964	0.493379	12	0.191184	1.834935	549310.362	9798586.504	84.627602
374	3	8965	0.636618	16	0.318308	3.900665	549297.3342	9798585.944	83.763802
375	3	8967	0.477464	12	0.179048	1.718208	549274.658	9798581.649	83.349602
376	3	8970	0.509295	10	0.203717	1.676176	549272.311	9798532.904	80.973503
377	3	8971	0.496562	13	0.193659	1.988873	549291.103	9798516.319	79.118797
378	3	8976	0.528393	12	0.219283	2.105269	549313.897	9798488.901	76.814697
379	3	8978	0.280112	12	0.061625	0.589952	549276.53	9798503.611	79.118797
380	3	8979	0.509295	16	0.203717	2.49392	549263.624	9798488.913	74.961403
381	3	8980	1.024955	14	0.825087	9.050963	549275.857	9798479.957	76.112602
382	3	8983	0.986758	17	0.764736	9.883644	549301.873	9798442.148	72.046501
383	3	8984	0.474281	11	0.176669	1.575093	549318.113	9798446.676	72.395401
384	3	8985	1.044054	16	0.856122	10.514611	549322.894	9798438.937	72.395401
385	3	8986	0.518844	16	0.211428	2.588536	549320.891	9798436.727	67.763901
386	3	8988	0.509295	15	0.203717	2.361495	549308.432	9798426.34	67.763901
387	3	8989	0.493379	12	0.191184	1.834935	549304.427	9798425.567	67.983398
388	3	8990	0.954927	16	0.716194	8.792525	549307.874	9798420.482	67.763901
389	3	8994	0.496562	10	0.193659	1.593233	549303.465	9798130.219	75.781601
390	3	8997	0.477464	10	0.179048	1.472774	549298.227	9798087.333	76.694199
391	3	8999	0.563407	12	0.249307	2.394216	549295.104	9798052.737	77.498497
392	3	9000	0.954927	16	0.716194	8.792525	549288.094	9798040.358	77.498497
393	3	9001	0.502928	14	0.198656	2.17223	549281.864	9798032.954	78.236801
394	3	9003	0.471098	12	0.174306	1.672594	549322.343	9798008.516	77.822098
395	3	9009	0.477464	12	0.179048	1.718208	549273.725	9797952.819	80.649803
396	3	9010	0.464731	11	0.169627	1.512167	549293.742	9797942.644	80.4944
397	3	9011	0.693914	16	0.378182	4.636178	549273.943	9797935.907	81.102699
398	3	9014	0.572956	10	0.25783	2.122535	549299.854	9797918.436	80.4944
399	3	9015	0.509295	12	0.203717	1.955507	549303.067	9797870.574	82.741798
400	3	9016	0.477464	13	0.179048	1.8385	549309.732	9797836.085	84.549698
401	3	9017	0.563407	13	0.249307	2.561835	549306.715	9797779.492	87.732803
402	3	9019	0.709829	13	0.395729	4.07067	549280.693	9797793.758	86.045898
403	3	9022	0.630252	14	0.311974	3.414783	549268.451	9797762.701	87.634903
404	3	9025	0.502928	14	0.198656	2.17223	549281.009	9797722.794	89.141899
405	3	9036	0.614337	12	0.296417	2.847741	549318.142	9797663.318	88.424797
406	3	9041	0.493379	11	0.191184	1.704803	549239.408	9797709.43	88.8284
407	3	9044	0.662083	14	0.344282	3.769256	549239.088	9797762.376	88.0886
408	3	9054	0.493379	12	0.191184	1.834935	549249.808	9797934.144	81.102699
409	3	9055	0.534759	12	0.224598	2.15642	549228.454	9797937.797	82.306999
410	3	9056	0.493379	12	0.191184	1.834935	549232.017	9797953.824	81.892998
